날짜,제목,본문,링크
2025-12-02 23:56:00,"728조 규모 내년도 예산수정안, 국회 본회의 통과(상보)","[이데일리 하지나 기자] 국회가 2일 본회의를 열어 728조원 규모의 내년도 정부 예산안을 여야 합의로 처리했다.  국회는 이날 본회의를 열어 이 같은 내용을 담은 2026년도 정부 예산수정안을 재석 262인 중 찬성 248인, 반대 8인, 기권 6인으로 가결했다.  이에 이재명 정부 첫 예산안은 법정처리 시한내 처리됐다. 예산안이 법정시한 내 처리된 것은 2020년 이후 5년 만이다.  한병도 국회 예산결산특별위원장은 이날 “정부가 제출한 2026년 예산안 및 기금운용 계획안 대비 1268억원 순감액된 727조8791억원으로 조정했다”고 설명했다.  예산안 처리 법정 시한인 2일 국회 본회의에서 2026년도 예산안에 대한 수정안이 가결되고 있다. (사진=연합뉴스) 그는 “이재명 정부 국정과제 추진을 위한 국민성장펀드나 지역화폐 예산은 감액하지 않는 대신 AI지원 및 정책펀드는 일부 감액했다”면서 “또한 농어촌 기본소득 시범 사업 3개소를 추가하기 위해 637억원을 증액했으며, 임산부 친환경 농산물 지원을 위해 158억원을 신규 편성햇다”고 설명했다.  또한 “국가전산망 데이터 손실을 방지하기 위해 재해복구 시스템 구축 등을 위해 2523억원을 증액했으며 등록금 부담을 경감하기 위해 국가 장학금 예산을 706억원 증액했다”고 덧붙였다.  아울러 그는 “보훈 유공자 예우 강화를 위한 수당 인상 예산 184억원도 증액됐으며, 자율주행 자동차 상용화를 위한 AI모빌리티 시범도시 조성 예산 618억원도 새롭게 편성됐다”고 말했다.",https://n.news.naver.com/mnews/article/018/0006176363
2025-12-02 23:42:00,"[속보]728조원 내년 예산안, 국회 본회의 통과","[이데일리 하지나 기자]  예산안 가결, 5년 만에 법정 시한 지킨 여야 (사진=연합뉴스)",https://n.news.naver.com/mnews/article/018/0006176362
2025-12-02 23:37:00,10년 의무복무 ‘지역의사제’ 국회 문턱 넘었다,"[이데일리 이지현 기자] ‘지역의사 선발 전형’으로 합격한 의대생에게 등록금과 기숙사비 등을 전액 지원하고, 의사 면허 취득 후 10년간 해당 지역에서 의무 근무하도록 하는 지역의사제가 법적 근거를 갖추게 됐다.  보건복지부는 ‘지역의사의 양성 및 지원 등에 관한 법률’(지역의사법)을 포함한 민생 법안들이 여야 합의로 통과됐다고 2일 밝혔다.  [서울=뉴시스] 김명년 기자 = 2일 오후 서울 여의도 국회에서 열린 본회의에서 지역의사의 양성 및 지원 등에 관한 법률안(대안)이 통과되고 있다. (사진=뉴시스) 지역·필수의료 공백을 메울 대안으로 제시된 지역의사제는 △복무형 △계약형 두 가지로 나뉜다. 복무형 지역의사는 지역의사 선발 전형으로 뽑힌 의대생들이 졸업 후 특정 지역에서 10년간 의무 복무하는 제도다. 계약형 지역의사는 기존 전문의 중 특정 지역에서 5∼10년 종사하기로 국가·지방자치단체, 의료기관과 계약한 의사들이다.  복무형 지역의사는 국가나 지자체로부터 입학금과 수업료, 교재비, 기숙사비 등을 지원받는다. 제적이나 자퇴 시, 혹은 3년 이내 국시에 합격하지 못했을 경우, 의무복무를 이행하지 않았을 때는 학비 등을 반환해야 한다. 10년이라는 의무 복무 기간에는 군 복무 기간이 포함되지 않고 전공의 수련 기간 중 복무 지역이 아닌 곳에서 수련 받을 때에서도 복무기간으로 쳐주지 않는다.  법에는 의무 복무를 강제하는 조항이 담겼다. 복지부 장관 또는 시도지사는 지역 의사가 의무복무 기간을 채우지 않으면 시정명령을 내릴 수 있다. 지역 의사가 시정명령을 이행하지 않으면 복지부 장관이 면허 자격을 정지시킬 수 있다.  면허 자격 정지를 3회 이상 받거나 복무를 이행하지 않으면 면허를 취소할 수도 있도록 했다. 취소됐을 때 남은 복무 기간 안에는 면허를 다시 받을 수 없게 했다.  지역의사 양성 규모는 의료인력 수급추계위원회 논의 등을 거쳐 내년 초에 2027학년도 이후 의대 정원의 윤곽이 나오면 정해질 전망이다.  정은경 복지부 장관은 “지역의사제의 법적 근거 마련은 지역·필수·공공의료 강화를 위한 첫걸음”이라며 “지역의사들이 그 지역의료의 주춧돌이 되도록 국가가 전폭 지원하겠다”고 강조했다.  만성적인 과로에 시달리는 전공의의 수련 환경을 개선하기 위한 ‘전공의의 수련환경 개선 및 지위 향상을 위한 법률 개정안’도 국회 문턱을 넘었다. 개정안은 전공의의 ‘연속 수련 시간 상한’을 36시간에서 24시간으로 단축하고, 전공의의 휴게·휴일·연장 및 야간 근로 등의 조건을 근로기준법에 따르도록 했다.  본회의에서는 응급의료법 일부개정안도 통과돼, 방해 금지 대상 응급의료 범위에 ‘상담’을 추가한 한편 응급의료 종사자 폭행에 대한 처벌이 적용되는 장소를 ‘응급실’에서 ‘응급의료를 실시하는 응급실 외 장소’까지로 넓혔다.  아울러 ‘사회복지사 등의 처우 및 지위 향상을 위한 법률’ 개정안도 국회 본회의를 통과했다. 복지부장관이 기본급과 수당의 지급기준에 관한 사항을 포함한 사회복지사 등의 보수에 관한 지침을 마련하고 국가와 지방자치단체의 준수 노력 의무를 부과한다. 또 누구든지 사회복지종사자의 인권을 침해하는 행위를 금지한다.  이번 국회 본회의에서 의결된 법률안은 국무회의 상정·의결을 거쳐 법안 시행일에 맞춰 시행될 예정이다.",https://n.news.naver.com/mnews/article/018/0006176361
2025-12-02 23:34:00,"""대통령 이름으로도 사기쳐""...결국 자수한 회사원 ""놀려주려""","[이데일리 박지혜 기자] 이재명 대통령을 사칭해 해외 주식과 관련한 가짜 대국민 담화문을 온라인에 올린 30대 남성이 범행 이유를 털어놨다.  이재명 대통령이 2일 용산 대통령실에서 열린 국무회의에서 발언하고 있다 (사진=연합뉴스) 2일 서울경찰청은 30대 남성 A씨를 위계공무집행방해 등 혐의로 검거해 조사하고 있다고 밝혔다.  회사원인 A씨는 전날 낮 경찰에 자수했다.  A씨는 이 대통령을 사칭한 ‘해외주식 양도소득세율 인상, 보유세 신설’이라는 내용의 글을 온라인에 여러 차례 게시한 혐의를 받는다.  경찰 조사에서 A씨는 “투자와 관련해 의견이 다른 사람들을 놀려주려고 범행했다”는 취지로 진술한 것으로 전해졌다.  최근 이 대통령을 사칭한 가짜 SNS 계정들이 특정인에게 메시지를 보내 금품을 요구하는 사례도 잇따르자, 대통령실은 단호한 대응을 예고했다.  전은수 대통령실 부대변인은 전날 서면 브리핑을 통해 “최근 틱톡, 엑스(X) 등 SNS 플랫폼에서 제21대 대통령을 사칭하는 가짜 계정이 확인됐다”며 “이 가짜 계정들은 프로필에 ‘제21대 대통령’이라는 직함과 성명을 기재하고, 대통령 공식 계정의 사진·영상을 무단 도용하고 있다”고 말했다.  이어 “단순 사칭을 넘어, 금품을 요구하는 등 범죄 정황도 포착됐다”며 “대통령실은 이를 명백한 범죄행위로 판단하고 국민 안전을 위협하는 온라인 사칭 범죄에 대해 단호히 대응하겠다”고 밝혔다.  전 부대변인은 “현재 경찰청 국가수사본부가 즉각 수사에 착수했으며, 법과 원칙에 따라 엄중히 처벌할 것”이라면서 “국민 여러분께도 각별한 주의를 요청 드리며, 유사한 계정으로부터 연락을 받으실 경우 절대 응하지 마시고 즉시 경찰에 신고해 달라”고 당부했다.  이 대통령 역시 ‘가짜 뉴스’ 문제에 대해 지적하며 “요새는 대통령 이름으로도 사기를 치고, 대통령이 뭘 했다고, 나도 모르는 문서들이 막 돌아다닌다고 그런다”라고 말했다.  이 대통령은 2일 서울 용산 대통령실에서 주재한 국무회의에서 “혐오(발언)와 가짜 뉴스의 (폐해가) 너무 심한 것 같다. 이러다가 나라에 금이 갈 것 같다”면서 이같이 언급했다.  이 대통령은 “가짜뉴스에 대책은 전(全) 정부 차원에서 마련하면 어떨까 싶다. 대책 마련에 속도를 낼 수 있게 잘 챙겨달라”고 당부했다.",https://n.news.naver.com/mnews/article/018/0006176360
2025-12-02 23:32:00,"법인세 1%p 인상안, 국회 본회의 통과…국힘 ""폐업조장법""(상보)","구윤철 경제부총리 겸 기획재정부 장관이 2일 국회 본회의에서 법인세법 일부개정법률안과 교육세법 일부개정법률안 제안설명을 하고 있다. (사진=연합뉴스) [이데일리 한광범 기자] 법인세를 전 구간 1%포인트 올리는 내용의 법인세법 개정안이 2일 국회를 통과했다. 더불어민주당은 윤석열정부에서의 무분별한 감세를 정상화하는 것이라는 입장인 반면, 국민의힘은 “기업의 탈한국을 부추기는 정책”이라며 강력 반발했다.  국회는 이날 법인세를 전 구간 1%p씩 상향하는 내용의 법인세법 개정안을 표결에 올려, 찬성 169인, 반대 84인, 기권 1인으로 의결했다. 이번 개정안은 법인세를 전 구간 1%p씩 상향해 법인세율을 2022년 수준으로 되돌리는 내용이다.  이번 법인세 인상안 통과에 따라 과표 구간별 법인세율은 △2억원 이하 9→10% △2억원 초과~200억원 이하 19→20% △200억원 초과~3000억원 이하 21→22% △3000억원 초과 24→25%로 상향된다.  구윤철 경제부총리 겸 기획재정부 장관은 “조세 부담을 정상화하고 안정적인 세입 기반을 확보하려는 것”이라며 “과세 정상화로 마련된 재원은 AI 등 혁신 생태계 구축을 지원하고 기업 경쟁력 강화를 뒷받침하는 데 사용할 것”이라고 밝혔다.  법인세 인사를 두고 팽팽한 입장을 보였던 여야는 이날 본회의 표결을 앞두고도 극명한 입장차를 재확인했다.  정일영 더불어민주당 의원은 찬성 토론에 나서 “우리나라가 경제 강국으로 도약하고 현재 경제 여건 하에서 재정수입의 원활한 조달을 위해서는 법인세 환원이 꼭 필요하다”며 “윤석열 정부는 감세 정책을 통해 경제활력 제고를 기대했으나 결과적으로 성장은 부진하고 막대한 세수 결손이라는 비정상적 결과를 가져왔다”고 지적했다.  정 의원은 “저성장의 고리를 끊고 경제 회복의 모멘텀을 확보하기 위해 적극적인 재정의 역할이 반드시 필요한 시점이 바로 지금이다. 기업들의 담세력에 맞는 과세를 함으로써 급속히 약화된 세입 기반을 정상화하고, 적극적 재정을 마중물 삼아 경제를 살리고 경제 활력을 제고해 나가야 한다”고 강조했다.  그는 “최근 세계 각국은 경제, 재정 상황 등에 맞춰 조세 정책을 탄력적으로 운용하는 추세가 강화되고 있다”며 “영국, 프랑스는 코로나19 이후 재정 건전성을 위해 법인세를 인상하는 등 최근에는 법인세를 인상하는 국가가 더 많아지고 있다”고 주장했다.  정 의원은 “과세 정상화로 마련된 재원은 AI 등 혁신 생태계 구축을 지원해서 우리 기업의 경쟁력 제고를 뒷받침하는 데 사용할 수 있다”며 “첨단 전략 산업을 타겟팅해서 집중 지원함으로써 세입기반 유지와 더불어 재정 지원 효과를 극대화하고 우리 경제의 성장 잠재력을 끌어올릴 수 있다”고 밝혔다.  박성훈 국민의힘 의원은 반대 토론에 나서 “법인세 인상안은 사실상 폐업조장법과 다르지 않다”며 “소상공인과 중소기업인, 그리고 작지만 소중한 일터를 지키는 노동자의 생계를 걷어찬 것”이라고 성토했다.  박 의원은 “이재명정부의 법인세 인상은 소상공인과 중소기업의 부담을 키울 뿐 아니라 대기업의 투자 여력까지 위축시키는 대기업 질식법이자 국가 경쟁력 역주행법”이라며 “민주당과 이재명정부가 APEC과 한미관세협상에서 국익을 지켜낸 기업들에게 가혹한 경제적 부담을 키우고 있다. 오른손으로 박수를 청하고 왼손으로 뒤통수를 친다”고 맹비난했다.  그는 “한국 법인세는 이미 OECD 38개국 중 9번째로 최상위권이다. GDP 대비 법인세 부담률 역시 OECD 국가 중 3위에 해당하는 매우 높은 수준”이라며 “문재인정부 시절 법인세 최고세율을 올렸지만 오히려 세수는 17조원 가까이 줄었고 기업들은 국내 설비 투자 대신 해외로 눈을 돌렸다”고 강조했다.  박 의원은 “법인세율을 올리겠다는 것은 기업 실적이 좋건 나쁘건 가리지 않고 기업의 호주머니를 털어 현금 살포 포퓰리즘에 쓰겠다는 날강도 심보와 다르지 않다”며 “법인세는 실제 부담은 소비자와 근로자, 주주에게 전가된다. 이는 결국 국민 증세로 이어질 수 있으며 분배와 고용 측면에서도 역진적 결과를 초래할 수 있다”고 지적했다.",https://n.news.naver.com/mnews/article/018/0006176359
2025-12-02 23:28:00,김성환 장관 “하남 변환소 신설”…주민 반발 “국가폭력”,"[이데일리 최훈길 기자] 김성환 기후에너지환경부 장관이 동서울변전소 증설(변환소 신설) 공사를 예고했다. 경기도 하남시 주민들은 4만명이 거주하는 주거밀집지역에 초고압 설비를 설치하는 것이라며 원점 재검토를 촉구했다.  김성환 기후에너지환경부 장관이 1일 기자간담회에서 경기도 하남시 감일동에 위치한 동서울변전소에 변환소를 신설하는 공사를 추진할 것임을 예고했다.(사진=기후에너지환경부) 2일 기후부에 따르면 김 장관은 지난 1일 정부세종청사에서 출입기자단과의 기자간담회를 통해 “현장에 가보니 500kV 변환소를 신설하는 데 문제를 제기하는 목소리가 많아 확인을 해보겠다고 한 것이지 재검토를 발언한 적은 없다”며 “향후 절차도 전력망 특별법에 따라 진행될 것”이라고 말했다.  전력망 특별법에 따르면 전력망 구축을 위해 지자체로부터 받아야 하는 인허가는 지자체가 60일 내 허가 여부를 회신하지 않으면 허가한 것으로 간주된다. 지난달 5일 관보에 게재된 지정고시대로 추진될 경우 60일 이후인 내년 1월5일 이후 동서울변전소 증설이 진행된다. (참조 이데일리 11월9일자 <“아이들은 ‘전력망 마루타’ 아닙니다”…추미애 하남 무슨 일?>)  한전은 당초 2026년까지 변환소 증설을 종료하기로 했으나 공사가 지연되면서 완공 시기를 2027년 12월로 수정했다. 변환소는 직류로 오는 전기를 교류로 변환하는 곳이다. 에너지 고속도로를 타고 오는 전기가 통과하는 톨게이트 같은 곳으로 중요 전력 시설이다. 밀양 송전탑 시위 이후로 765kV 전력망 건설 계획은 백지화 됐다. 500kV 설치 계획이 현재 가장 높은 전압 수준이다.(자료=한전) 앞서 김 장관은 지난달 22일 하남시 감일동 주민센터를 방문해 감일동 주민 등이 포함된 ‘동서울변전소 증설반대 5자협의체’와 2시간 가량 비공개 간담회를 했다. 동서울변전소 증설 논란이 지난해 여름에 본격적으로 불거진 이후 소관 부처 장관이 감일동 현장을 찾아 대화에 나선 것은 이번이 처음이다.  김 장관은 주민들과의 첫 간담회에서 “(대체 부지 등) 다른 대안이 있는지 살펴보겠다”며 “갈등위원회 등 다른 중재위원회를 만들 수 있는지 여부도 살펴보겠다”고 말했다. 이어 “(간담회가) 오늘 한 번으로 그치는 게 아니다”며 “곧바로 검토해 연락 드리고 함께 하겠다”고 말했다.  특히 김 장관은 한전 임원이 참석한 이날 간담회에서 “(한전이) 주민들에게 ‘언제까지 동의하면 뭐를 주고 동의 안 하면 뭐를 안주겠다’는 식으로 하는 것은 적절해 보이지 않는다”며 공개적으로 문제를 지적하기도 했다. 이어 “(한전이 무언가를 가리기 위해) 화장하듯이 분칠했는지도 살펴보겠다”고 약속했다.  김 장관은 간담회 직후 블로그에 “인공지능(AI)·반도체 등 국가 전략산업의 전력수요가 급증하고 있는 상황에서 안정적인 전력망 구축은 필수적”이라며 “그렇다고 지역주민의 목소리를 무시하고 사업을 강행하는 것도 있을 수 없다”고 밝혔다.(참조 이데일리 11월23일자 <정부, 동서울변전소 재검토 시사…김성환 장관 “대안 살펴보겠다”(종합)>  변환소 신설 예정 부지(사진 오른쪽)와 제일 가까운 아파트 단지(한라비발디 2차) 간 이격거리가 직선거리로 150m에 불과했다. (사진=최훈길 기자) 그러나 김 장관은 1일 기자간담회에서는 전력망 특별법에 따른 공사 추진 입장을 밝혔다. 김 장관은 “‘주민 몰래 결정됐다’, ‘한전이 장밋빛 미래만 제시했다’, ‘주민을 돈으로 매수하려 했다’는 등 (주민들의) 세가지 의혹 제기가 있었다”며 “(확인 결과) 한전의 위법은 없었으며 주민설명회에서도 정보가 (이미) 공개됐다”고 말했다.  김 장관은 “한전이 일부 주민을 돈으로 매수했다는 주장은 변전소 인근 주민을 지원하는 내부 지침을 수행하는 게 주먹구구식으로 진행돼 오해가 있었다”고 덧붙였다. 이어 “주민들과 만나 (이같이) 확인한 내용을 다시 전달할 계획”이라고 전했다.  어린아이의 손을 잡고 한 엄마가 감일동 거리를 걸어가고 있다. 감일동은 영유아, 청소년, 다자녀, 신혼부부 등이 주로 사는 4만명(1만4000가구) 주거밀집지역이다. (사진=최훈길 기자) 이같은 김 장관의 발언을 보도한 기사를 본 주민들은 당혹스런 분위기다. 불과 열흘 전 주민들과의 간담회 당시와 달라진 분위기를 느껴서다. 주민들은 최대한 빨리 2차 간담회를 열어 추진 과정의 절차상 하자, 정보 공개 문제 등 사실관계를 바로 잡겠다는 입장이다.  이규석 동서울전력소 증설반대 비상대책위원회 공동위원장은 통화에서 “변환소가 신설되는 부지에서 가장 가까운 아파트 단지는 노약자, 장애인 등 초고압 시설에 취약한 사람들이 살고 있는 임대아파트”라며 “이런 상황에서 공사를 강행하는 것은 국가폭력이자 해도 해도 너무한 일”이라고 말했다. 감일동에서 공사가 진행되면 50만 볼트 변환소가 주거밀집지역에 설치되는 전국 첫 사례가 된다.  이 위원장은 “4만명이 사는 감일단지는 2010년대 신혼부부 보금자리주택으로 추진됐기 때문에 지금은 아이들이 1만명이나 살고 있는 곳”이라며 “취임 첫 날에 ‘함께 사는 세상, 국민이 주인이고 행복한 나라를 국민과 함께 만들겠다’고 했던 이 대통령의 말씀처럼, 인권과 사람을 우선하는 정책을 생각해달라”고 당부했다.",https://n.news.naver.com/mnews/article/018/0006176358
2025-12-02 23:20:00,비대면진료 제도화…의료법 개정안 15년 만에 국회 통과,"[이데일리 이지현 기자] 코로나19 시기부터 5년 9개월간 시범사업으로 운영된 비대면진료가 드디어 제도권에 들어왔다. 의료법 개정안이 국회 본회의를 통과하면서 비대면진료의 법적 근거가 15년 만에 마련된 것이다.  2일 보건복지부는 비대면진료의 제도화를 위한 의료법 개정안이 국회 본회의를 통과했다고 밝혔다.  (사진=게티이미지) 비대면진료는 코로나19 시기부터 약 5년 9개월 간 시범사업으로 운영 중이나, 비대면진료의 안정적 제공을 위한 제도화 필요성이 꾸준히 제기됐다. 이번에 의료법 개정안이 국회 본회의를 통과한 것은 2010년 18대 국회에 처음으로 비대면진료 제도화를 위한 ‘의료법’ 개정안이 제출된 이후 15년 만에 이루어진 것이다.  이번 22대 국회에서는 비대면진료 제도화를 위한 ‘의료법’ 개정안 8건이 발의됐다. 보건복지위원회에서 전자처방전 전달시스템 도입을 위한 ‘의료법’개정안 1건까지 총 9건을 병합해 심의 후 대안을 마련해 의결했다. 이후 법제사법위원회에서 일부 내용 및 체계·자구를 수정해 의결했다.  이번 개정안은 의료계와의 합의를 토대로 △대면진료 원칙 △의원급 의료기관 중심 △재진환자 중심 △전담기관 금지 등 ‘4대 안전 원칙’을 명문화했다. 비대면진료가 대면진료의 보완적 수단임을 명확히 하면서, 일정 기간 내 동일 증상으로 대면 진료 이력이 있는 환자를 중심으로 허용하도록 규정했다. 초진이 필요한 경우에는 지역·처방 제한이 적용된다.  병원급 이상 의료기관의 비대면진료는 예외적 상황에서만 허용된다. 또한 비대면진료만을 전담하는 기관을 금지하고 지역 제한을 두어, 대면진료와 연계되는 구조를 유지하도록 했다. 대한의사협회 등이 표준지침을 마련·권고하고, 위반이 의심될 경우 행정지도를 요청할 수 있도록 자율규제 근거도 신설됐다.  환자 안전 강화를 위한 규정도 포함됐다. 비대면진료에서는 마약류 처방이 금지되며, 의사가 환자 정보를 충분히 확보하지 못한 경우 처방약 종류·일수 제한이 적용된다. 화상진료가 필수적인 질환 등 ‘비대면 불가·제한 질환’도 복지부령으로 정해 유연하게 운영한다.  비대면진료의 도입에 따라 의료인은 진료 한계와 특성을 설명하고 환자 동의를 받아야 한다. 타인 사칭 진료 및 처방 요구는 금지된다. 비대면진료 플랫폼에 대한 신고제·인증제가 신설되고, 의료광고 사전심의 대상에도 포함된다. 개인정보 보호 조치와 의료적 판단을 왜곡하는 행위 금지 등 플랫폼 규제 근거도 강화됐다.  공공플랫폼 역할을 하는 ‘비대면진료 지원시스템’도 구축된다. 이를 통해 환자의 진료이력 및 자격정보 등을 공적으로 안전하게 관리하고 일차의료기관이 활용할 수 있도록 한다. 처방전 위·변조 방지를 위한 전자처방전 전달시스템 도입 근거도 포함됐다.  섬·벽지 거주자, 장기요양 수급자, 등록장애인, 감염병 확진자, 희귀질환자 등에 대한 약 배송이 가능해진다. 앞으로 취약지 거주자·취약계층 등 필요한 환자는 비대면진료 후 처방약을 편리하게 수령할 수 있다. 대상자 특성에 맞게 약 배송 지역도 정할 수 있다.  의료법 개정안은 국무회의 상정·의결을 거쳐 공포 후 1년 뒤부터 시행된다.  복지부는 법이 시행되기 전까지 법안 취지에 맞춰 시범사업 내용을 개편해 단계적으로 적용할 계획이다. 다만 급격한 변화로 인한 환자, 의료기관의 불편이 없도록 전문가, 현장의견 등을 수렴하여 유예기간을 두고 적용한다.  아울러 대상환자의 기준, 지역 제한의 범위, 처방 제한 의약품의 종류 등 하위법령에서 규정할 구체적 사항은 의·약계, 환자·소비자 단체 등과 협의를 통해 마련할 계획이다.  비대면진료 제도화를 계기로 비대면진료(의료인-환자 간) 및 비대면협진(의료인-의료인 간)을 활용한 의료취약지 일차의료 강화 시범사업, 지역·필수·공공의료 강화를 위한 제도개선 방안 등도 논의할 계획이다.  정은경 복지부 장관은 “비대면진료 제도화를 위한 의료법 개정안이 국회 논의가 시작된 지 15년 만에 국회 본회의를 통과해 큰 의미가 있다고 생각한다”며 “의료의 질과 환자의 안전을 최우선으로 고려해 대안이 마련된 만큼, 법이 시행된 이후에도 국민이 안전하고 편리하게 비대면진료를 이용할 수 있도록 노력하겠다”라고 강조했다.",https://n.news.naver.com/mnews/article/018/0006176357
2025-12-02 23:17:00,배당소득 50억 초과·최고세율 30%…국회 본회의 통과,"[이데일리 하지나 기자] 배당소득 분리과세 50억원 초과 구간을 신설하고 최고 세율 30%를 적용하는 조세특례제한법이 2일 국회 본회의를 통과했다.  국회는 이날 본회의를 열어 이 같은 내용을 골자로 하는 조특법 개정안은 재석 243인 중 찬성 201인, 반대 18인, 기권 24인으로 가결됐다. 2일 국회 본회의에서 조세특례제한법 일부개정법률안(대안)이 가결되고 있다.(사진=연합뉴스) 현행법은 이자·배당소득 등 금융소득이 2000만원 이하면 원천징수로 과세하고 이를 초과하면 다른 소득과 합산해 최대 45%의 누진세율을 적용한다.  이번 개정안은 배당소득에 대해 구간별 분리과세를 도입한 것이 핵심이다.  2000만원까지는 14%, 2000만원 초과∼3억원 이하는 20%, 3억원 초과∼50억원 이하 구간에는 25%의 분리과세 세율을 적용한다. 또한 50억원 초과 구간을 신설해 최고 30% 세율을 부과하도록 했다.  배당소득 분리과세는 내년 배당부터 적용된다. 다만 대상 기업은 △배당성향 25% 이상 △전년 대비 배당 10% 이상 증가 등 요건을 충족해야 한다. 또한 세목을 소득세법이 아니라 조세특례제한법에 담아 3년간 한시 적용하도록 했다.",https://n.news.naver.com/mnews/article/018/0006176356
2025-12-02 23:13:00,"[속보]법인세 1%P 인상안, 국회 본회의 통과…국힘, 반대","[이데일리 한광범 기자] [속보]법인세 1%P 인상안, 국회 본회의 통과…국힘, 반대  법인세 1%P 인상안, 국회 본회의 통과 (사진=연합뉴스)",https://n.news.naver.com/mnews/article/018/0006176355
2025-12-02 22:56:00,"오세훈 '여론조사 대납 의혹', 대장동 1심 재판부가 심리","[이데일리 조민정 기자] 오세훈 서울시장의 여론조사비 대납 의혹이 대장동 개발 비리 사건 1심을 심리한 재판부에 배당됐다.  오세훈 서울시장이 지난달 26일 오후 서울시청에서 열린 ‘2025 서울시소상공인연합회 역량강화 워크숍’에 참석해 강연을 하고 있다. (사진=이데일리 김태형 기자) 2일 법조계에 따르면 서울중앙지법은 오 시장의 정치자금법 위반 혐의 사건을 형사합의22부에 배당했다. 형사합의22부는 대장동 개발 비리 의혹과 관련한 민간업자들의 1심 재판을 담당한 재판부다.  오 시장은 2021년 4·7 서울시장 보궐선거를 앞두고 명태균씨로부터 여론조사 결과를 받아보고 자신의 후원자에게 비용을 대신 내게 한 혐의를 받는다. 명씨는 보궐선거를 앞두고 자신이 오 시장과 7차례 만났다고 주장하고 있다. 아울러 오 시장이 선거 때 “살려달라”, “나경원을 이기는 조사가 필요하다”고 말했다고 주장해왔다.  반면 오 시장은 명씨에게 여론조사를 의뢰한 적도, 결과를 받아본 적도 없다며 관련성을 줄곧 부인하고 있는 상황이다.  앞서 해당 재판부는 유동규 전 성남도시개발공사 기획본부장과 김만배씨에게 각 징역 8년을 선고했다. 유 전 본부장에게는 벌금 4억원과 추징금 8억1000만원을, 김씨에게는 추징금 428억원도 각 명령했다.  정민용 변호사는 징역 6년에 벌금 38억원과 추징금 37억원을, 정영학 회계사와 남욱 변호사는 각각 징역 5년과 징역 4년을 선고받았다.",https://n.news.naver.com/mnews/article/018/0006176354
