제목,본문,날짜,링크
"환자 12명 독살한 마취과 의사 종신형…변호인 ""항소할 것""","프랑스의 전직 마취과 의사가 환자의 수액 팩에 독극물을 넣어 12명을 독살한 혐의로 종신형을 선고받았다.  18일(현지시간) AFP통신, 르몽드 외신에 따르면 프랑스 법원은 전 마취과 의사 프레데릭 페시에(53)에게 환자 30명을 중독시키고 이 중 12명을 숨지게 한 혐의로 무기징역을 선고했다.  페시에는 2008부터 2017년 사이 자신이 근무하는 브장송의 한 병원에서 동료 의사들이 담당하는 환자들을 심정지 상태에 빠트리려는 목적으로 수액 팩에 칼륨, 마취제, 아드레날린 등의 독약을 넣어 오염시킨 혐의를 받는다.  30명의 환자가 약물 중독으로 심정지 상태에 빠졌고, 그중 12명은 사망했다.  검찰은 ""페시에가 병원의 다른 마취과 의사들과 갈등을 빚은 뒤 이들의 환자들에게 응급상황을 일으켜 심리적 타격을 입히고 자신의 권력욕을 채우려 했다""고 주장했다.  그러면서 ""페시에는 역사상 최악의 범죄자 중 한 명이다. 의학을 살인 도구로 사용했다""고 비판했다.  특히, 공소 유지를 담당한 크리스틴 드 쿠레즈 검사는 ""항상 자신을 피해자로 포장해온 프레데리크 페시에, 당신은 박사(의사)라는 칭호를 가질 자격이 없다. 당신은 '죽음의 의사'일 뿐이다""라고 강조했다.  페시에는 재판 과정에서 ""나는 독살자가 아니다""라며 혐의를 전면 부인했고, ""심리적 압박감에 2021년 목숨을 끊으려고 시도했었다""면서 눈물을 흘리기도 했다.  2017년 수사가 시작된 뒤 재판 내내 불구속 상태로 재판에 출석한 페시에는 즉시 수감될 예정이다.  ""누군가 범죄자를 만들어냈다. 의료계 전체가 피고인을 몰아세우고 있다""고 주장하며 페시에의 무죄를 변론해 온 변호인은 ""매우 강력하게 보강된 변호인단과 함께 항소할 것""이라고 밝혔다.  이보배 한경닷컴 객원기자 newsinfo@hankyung.com",2025.12.18. 오후 11:50,https://n.news.naver.com/mnews/article/015/0005226540
美 물가상승률 2.7% '깜짝' 안정…원·달러 환율 '출렁',"미국의 지난달 소비자물가지수(CPI)가 2.7% 상승하는 데 그쳤다는 발표가 나오면서 원·달러 환율이 야간 장에서 큰 폭으로 하락했다. CPI가 시장 예상치를 크게 하회하면서 미국의 금리 인하 기대가 확산하면서 달러가 약세를 나타낸 영향으로 파악된다. 다만 전문가들은 지난달 중순까지 미 정부가 셧다운된 영향으로 이번 물가상승률을 신뢰할 수 없다는 시각도 내놨다.  미 노동부 노동통계국(BLS)은 올해 11월 미국 소비자물가지수(CPI)가 전년 동월 대비 2.7% 올랐다고 18일(현지시간) 밝혔다. 이는 전문가 예상치를 밑도는 수치다. AP통신은 11월 CPI를 9월(3.0%) 수치와 동일할 것으로 전망했다고 전했다. 뉴욕타임스에 따르면 경제학자들은 11월 CPI 상승률을 3.1%로 예상했다.  변동성이 큰 에너지·식품을 제외한 근원 CPI는 전년 동월 대비 2.6% 올라 9월(3.0%)보다 상승률이 낮았다. 이번 발표는 10월1일부터 11월12일까지 이어진 43일간의 연방정부 셧다운(일시적 업무정지) 사태 여파로 예정보다 여드레 늦게 나왔다. 10월 CPI의 경우 관련 예산 편성 중단으로 데이터를 수집하지 못해 별도로 집계하지 못했다고 BLS는 전했다.  미국 CPI가 발표된 직후 외환시장에서는 원·달러 환율이 큰 폭으로 내렸다. 오후 10시30분께 주간 거래 종가(1478원30전)과 비슷한 수준에서 거래되던 환율이 발표 직후 내리기 시작해 11시무렵 1472원30전까지 6원 가량 하락했다. 낮은 CPI가 미국의 금리 인하 기대를 자극한 영향이라는 해석이 나왔다.  다만 이번 물가 통계가 왜곡됐을 가능성이 제기되는 점이 변수다. 백악관은 낮은 물가상승률이 경제 정책의 성과라며 추켜세웠지만 전문가들은 의구심을 드러내고 있다. 뉴욕타임스에 따르면 폴 애쉬워스 옥스퍼드이코노믹스 북미수석경제학자는 주택 비용 상승이 미미했던 점을 지적했다. 그는 ""실제로 인플레이션 압력이 실제로 하락한 것을 반영할 가능성은 있지만, 특히 임대료나 주거 임대료 같은 더 지속적인 서비스 부문에서 갑작스러운 하락은 경기 침체가 아니면 이례적인 일""이라고 평가했다.  이번 CPI만 보면 미 중앙은행(Fed)이 1월에 추가 금리 인하를 단행할 수 있다는 의견도 제기됐다. 하지만 케이 헤이그 골드만삭스 글로벌 책임자는 ""데이터가 매우 혼란스러워 Fed에 큰 변화를 일으키지 못할 것""이라고 말했다.  11월 중순 이후 가격 조사가 시행되면서 미국의 블랙프라이데이 세일 기간에 많은 품목의 가격이 조사된 점도 왜곡 가능성의 근거로 제시됐다. 11월 수치가 왜곡됐다면 12월 수치가 크게 반등할 가능성이 있다고 보는 시각도 나왔다.  이런 시각이 반영되면 미국의 금리 인하 기대가 되돌려지면서 원·달러 환율 하락세 역시 함께 되돌려질 가능성이 높다. 11시30분 기준 원·달러 환율은 1474원20전이었다.",2025.12.18. 오후 11:39,https://n.news.naver.com/mnews/article/015/0005226539
"bhc치킨, 해바라기유 3년만에 공급가 인상",bhc치킨을 운영하는 다이닝브랜즈그룹이 가맹점의 튀김용 해바라기유 공급 가격을 20% 올린다고 18일 밝혔다.  다이닝브랜즈그룹은 오는 30일부터 고올레산 해바라기유 15㎏ 공급가를 기존 7만5000원에서 9만원으로 인상한다. 회사는 최근 가맹점주 협의를 거쳐 인상을 결정했다고 밝혔다. 이번 공급가 인상은 2022년 이후 3년 만이다.  다이닝브랜즈그룹 관계자는 “해바라기유 국제 시세가 30% 뛰었고 환율 부담까지 더해져 부득이하게 올리기로 했다”며 “치킨 소비자가격 인상은 없을 것”이라고 설명했다.  다이닝브랜즈그룹은 2022년 7월 원자재 가격이 급등하자 해바라기유 공급가를 약 60% 올렸다. 이후 일곱 차례에 걸쳐 공급가를 낮췄다.,2025.12.18. 오후 11:25,https://n.news.naver.com/mnews/article/015/0005226538
"""장원영은 100억 아파트 산다는데…"" 2030 앓는다는 '이 병' [트렌드+]","""두바이 쫀득 쿠키 하나 사 먹는데도 손 떨리는데...서민통 온다.""  ""강남 아파트 평당 1억 넘는다는 얘기 들으면 거지통 와서 미치겠다.""  ""연예인 OOO이 몇십억짜리 아파트 사서 △△△랑 이웃이래 거지통 와.""   경기 불황이 길어지는 가운데 연예인들의 수백억대 건물 매입 소식과 치솟는 부동산 가격 기사가 연일 쏟아지면서, 젊은 층이 체감하는 상대적 박탈감은 더욱 선명해지고 있다.  과거에는 이런 감정을 속으로 삼키거나 애써 드러내지 않는 분위기가 강했다면, 최근에는 그 감정 자체를 하나의 '증상'처럼 이름 붙여 웃음으로 소비하는 흐름이 뚜렷해지고 있다. ""거지통(痛) 온다"", ""서민통 온다""라는 신조어가 이를 상징한다.  '통(痛)'이라는 표현의 확산 속도도 가파르다. 18일 썸트렌드에 따르면 지난달 18일부터 지난 17일까지 '거지통', '서민통' 언급량은 전년 같은 기간 대비 각각 4만3000%, 1만662% 급증했다. 단순한 유행어를 넘어, 일상에서 감정을 표현하는 상투어로 자리 잡는 분위기다. ◇연예인 일상이 불러온 '서민통' 온라인 커뮤니티에는 ""아이브 장원영이 100억대 부동산을 샀다는 소식을 듣고 정말 박탈감이 들더라. 물론 열심히 해서 번 거겠지만, 나도 분명 열심히 사는 데 아무리 노력해도 서울에 방 한 칸 살 수 없는 내 현실이 너무 슬프다""는 글이 올라온다.  또래이지만 자산의 '격차'가 갑자기 눈앞에 드러나는 순간, 감정이 급격히 꺾인다는 반응이다.  연예인의 일상을 보여주는 MBC '나 혼자 산다'를 두고도 비슷한 반응이 나온다. ""요즘은 몇백억 집, 몇억짜리 차, 수십만 원짜리 밥 먹는 모습만 보여주니까 서민통이 온다. 보는 내내 마음이 아프다""는 댓글이 이어진다. 부러움보다는 거리감, 감탄보다는 피로감이 먼저 따라온다는 의미다.  블랙핑크 제니가 올린 사진 속, 방으로 추정되는 공간에 디지털카메라 수십 대가 전시된 장면을 보고 ""서민통 온다""고 적은 누리꾼도 있다.  그는 ""어릴 때는 별생각 없었는데, 28살이 되니까 그냥 서민통이 와서 의도적으로 이런 영상 보기를 회피하고 있다""고 털어놨다. 부러움이 단순한 감탄을 넘어, 자신을 불편하게 만드는 단계로 넘어갔다는 고백이다. ◇두바이 쫀득 쿠키 세 개에 몰린 공감…""저걸 한 번에?""   특히 이 표현은 거창한 지출이 아니라, 아주 사소한 소비 선택에서 경제적 한계를 체감할 때 더 자주 쓰인다. 가격 부담이 큰 '두바이 쫀득 쿠키'를 여러 개 겹쳐 먹는 콘텐츠가 대표적이다.  534만 먹방 유튜버 떵개떵이가 최근 올린 영상에서 두바이 쫀득 쿠키 세 개를 겹쳐 먹는 장면이 각종 커뮤니티로 확산하자, ""서민통 온다. 두쫀쿠 하나도 못 사 먹는데 저걸 세 개씩 한 번에 먹냐"", ""떵개가 두쫀쿠 몇 개씩 먹는 거 보고 서민통 옴""이라는 반응이 이어졌다.  누리꾼들은 ""두바이를 저만큼이나, 권위 있으시다"", ""저걸 쌓아두고 먹을 수 있는 통장과 한 번에 다 먹어 치울 수 있는 권력이 동시에 느껴진다""는 과장된 농담을 덧붙였다. 웃음으로 포장됐지만, 그 이면에는 ""나는 저 소비를 따라갈 수 없다""는 체감이 깔려 있다.  이런 감정은 일상에서도 쉽게 증폭된다. 엑스(X·옛 트위터)에는 돈이 없어 어묵 대신 어묵 국물만 먹는 상황을 찍어 '거지통'이 오는 순간이라며 공유하는 게시글도 적지 않다.  한 누리꾼은 ""강남 백화점에 갔는데 잘 차려입은 할머니·할아버지들이 여유롭게 다니는 모습을 보면 거지통이 온다""며 ""취미생활을 즐기고 깔끔하게 옷 입은 모습을 보면 지금의 내 모습이 초라해 보이고, 내 미래도 저럴 거라는 기대가 전혀 생기지 않는다""고 토로했다.  또 다른 누리꾼도 ""일 때문에 판교의 한 백화점에 갔는데, 평일 점심시간에 부티 나게 차려입은 젊은 남녀들이 여유롭게 쇼핑하는 모습을 보고 괜히 더 부러워졌다""고 적었다. 소비 공간에서 마주치는 '여유'가 단순한 부러움을 넘어, 미래에 대한 불안으로 이어지는 셈이다.  고가 소비 아이템이 화제가 될 때마다 '통'은 반복적으로 소환된다. 신라호텔 10만 원 빙수, 루이비통 160만 원 붕어빵 키링이 공개될 때마다 ""이런 건 누가 사 먹는 거냐, 서민통 온다"", ""부자들은 저걸 160만 원 주고 아무렇지 않게 사는 거냐""는 반응이 쏟아진다.  나아가 박탈감의 대상은 경제를 넘어 개인의 처지 전반으로 확장되는 모습도 보인다. ""돈은 없는데 배는 고파서 먹방 유튜브 보며 서민통을 느끼고 있다"", ""인스타 스토리만 봐도 가난통, 서민통, 찐따통이 동시에 온다"", ""아 거지통 온다. 친구 용돈이 내 다섯 배다. 부자 친구라서 솔직히 너무 부럽다""는 글이 이어진다. '노비통', '계급통' 같은 표현이 자연스럽게 등장하는 배경이다. ◇소득 지표와 어긋난 청년들의 삶의 만족도   하지만 지표는 또 다른 역설을 보여준다. 통계청과 데이터부가 발표한 '청년 삶의 질 2025 지표'에 따르면 19~34세 청년층의 상대적 빈곤율은 2023년 7.6%로, 2012년 11.6%에서 크게 낮아졌다.  국제 비교에서도 한국 청년층의 소득 여건은 비교적 양호한 편이다. 2022년 기준 한국 청년층의 상대적 빈곤율은 8.7%로 OECD 38개국 가운데 9번째로 낮았고, OECD 평균보다도 낮았다. 소득 지표만 놓고 보면 극단적으로 악화했다고 보기는 어렵다.  반면 삶의 만족도는 정반대의 결과를 보였다. 지난해 한국 청년층의 삶의 만족도는 10점 만점에 6.5점으로 OECD 38개국 중 31위에 그쳤고, OECD 평균에도 못 미쳤다.  높은 주거비 부담과 안정적인 일자리 부족이 주요 원인으로 꼽힌다. ""얼마를 버느냐""보다 ""살 수 있느냐"", ""미래가 보이느냐""가 만족도를 좌우하는 시대가 된 셈이다.  그래서 '거지통', '서민통'은 단순히 통장이 얇아서 느끼는 감정이라기보다, 같은 시대를 살지만, 전혀 다른 인생을 사는 듯한 격차를 매일 마주하며 쌓여온 감정의 누적값에 가깝다. ◇전문가들 ""자조와 해학 사이…젊은 세대의 언어 선택""   전문가들은 '거지통', '서민통'이라는 표현이 최근 젊은 세대의 감정 표현 방식 변화와 맞닿아 있다고 분석한다. 과거에는 경제적 열등감이나 결핍을 드러내기보다 숨기려는 분위기가 강했다면, 최근에는 자신을 자조하거나 비하하는 표현을 거리낌 없이 사용하며 이를 유머로 희화화하는 경향이 뚜렷해졌다는 설명이다.  이병훈 중앙대 사회학과 교수는 ""'거지통', '서민통' 같은 표현은 삶의 여유를 잃어버린 현실에서 나온 자조적 언어로 보인다""고 말했다. 그는 ""통증의 '통'자를 붙이고, 자신을 '거지'라고까지 표현하는 데에는 많은 사람이 생활의 어려움을 겪는 가운데 특히 젊은 세대가 이를 더 강하게 체감하고 있기 때문""이라며 ""자신들의 어려움을 공유하기 위해 새로운 언어를 만들어 소통하는 방식""이라고 설명했다.  이 교수는 ""국가 차원에서는 삼성, 현대 같은 대기업을 보유하고 선진국 반열에 올랐다고 하지만, 상당수 국민의 삶은 그 현실과 괴리가 크고 생활의 어려움은 날로 가중되고 있다. 이런 간극에서 비롯된 자조감이 반영된 표현""이라며 ""SNS를 통해 같은 세대끼리 '나만 힘든 게 아니구나'라고 공감하고 서로 위로하는 측면도 크다""고 말했다.  구정우 성균관대 사회학과 교수는 ""젊은 세대가 '서민통', '거지통' 같은 단어를 사용하는 것은 해학적 의미가 강하다. 서민이나 거지라는 표현을 스스로 소화해 입 밖으로 꺼내고, 여기에 '통(痛)'을 붙여 고통을 표현하는 것""이라며 ""실제로 서민이나 거지가 아니라 해도 그만큼의 체감 고통을 느끼고 있다는 의미""라고 설명했다.  구 교수는 ""이는 단순한 자조라기보다는 해학을 통해 현실을 받아들이고 '그래도 더 열심히 살아보자'는 다짐에 가깝다""며 ""양극화와 부의 쏠림 같은 변화된 현실을 인정하면서도, 과도한 좌절에 빠지기보다는 한 번 웃고 넘기며 버텨내려는 젊은 세대 특유의 패기와 적응 방식으로 볼 수 있다""고 말했다.",2025.12.18. 오후 11:14,https://n.news.naver.com/mnews/article/015/0005226537
"'귀멸의 칼날' 제쳤다…'주토피아 2', 국내 박스오피스 1위 등극","디즈니 애니메이션 '주토피아 2'가 개봉 23일 만에 국내 박스오피스 1위 자리를 꿰찼다.  18일 월트디즈니 컴퍼니 코리아에 따르면 '주토피아 2'는 이날 오후 누적 관객 수 569만명을 넘기며 올해 가장 많은 관객이 본 영화에 이름을 올렸다.  '주토피아 2'는 전날까지 각각 1·2위였던 '극장판 귀멸의 칼날: 무한성편(568만1000여명)'과 '좀비딸(563만9000여명)'의 기록을 하루 만에 제쳤다.  디즈니 애니메이션이 국내 연간 박스오피스 정상을 차지한 건 이번이 처음이다.  지난해에는 디즈니·픽사 애니메이션 '인사이드 아웃 2'가 누적 879만9000여 관객을 기록했지만, 1000만을 넘긴 '파묘(1191만3000여명)'와 '범죄도시 4(1150만2000여명)'에 밀려 국내 3위에 그쳤다.  또 2019년 개봉한 디즈니 애니메이션 '겨울왕국 2'도 누적 관객 1376만8000여명으로 '천만 영화'에 올랐지만, '극한직업(1626만5000여명)'과 '어벤져스: 엔드게임(1393만4000여명)'과 맞붙어 역시 3위를 기록했다.  '주토피아 2'는 경찰이 된 여우 닉과 토끼 주디의 이야기를 그린 작품으로, 9년 전 개봉한 전작은 471만 관객을 기록했다.  500만 고지를 넘지 못한 전작과 달리 '주토피아 2'는 개봉 직후 21일 연속 박스오피스 1위를 차지하며 올해 개봉작 가운데 최단기간에 500만 관객을 돌파하기도 했다.  글로벌 흥행 성적도 압도적이다. '주토피아 2'는 지난 15일 기준 글로벌 흥행 수익 11억3667만 달러(한화 약 1조 6787억원)를 돌파하며 올해 개봉한 할리우드 영화 중 글로벌 흥행 수익 1위에 올랐다.  이보배 한경닷컴 객원기자 newsinfo@hankyung.com",2025.12.18. 오후 11:10,https://n.news.naver.com/mnews/article/015/0005226535
NCC 공룡 통합…석유화학 구조조정 '급물살',"여천NCC와 롯데케미칼이 전남 여수 석유화학단지에 있는 에틸렌 생산용 나프타분해설비(NCC)를 통합한다. 여천NCC 공동 주주인 한화솔루션과 DL케미칼이 같은 산단에 있는 롯데케미칼과 함께 에틸렌 생산량 추가 감축 방안 논의에 들어갔다. 업계에선 이미 결정한 여천NCC 3공장(연산 47만t) 폐쇄에 더해 각각 90만t가량의 생산 규모를 갖춘 여천NCC 1, 2공장이나 롯데 공장(123만t) 추가 감축 방안이 나올 것으로 예상하고 있다.  18일 업계에 따르면 여천NCC는 19일 정부에 제출할 사업재편안에 롯데케미칼과의 통합 방안을 담기로 했다. 업계에선 여천NCC 3공장을 폐쇄하고 나머지 시설을 대상으로 한화, DL, 롯데가 새로운 합작사를 설립해 공동 운영할 것으로 예상하고 있다. 3개사는 여천NCC 1공장(90만t)과 2공장(91만5000t), 롯데케미칼 여수공장(123만t) 중 하나를 폐쇄하는 방안도 협의하고 있다.  여천NCC와 롯데케미칼의 빅딜이 성사되면 정부의 에틸렌 생산량 감축 목표(연간 270만~370만t)는 계획대로 이뤄질 전망이다. GS칼텍스와 합작사를 설립하는 LG화학 여수 1공장(120만t)도 감축 대상에 올랐다. 한화·DL·롯데 새 합작사 설립…사업재편안 19일 정부에 제출 여천NCC 1공장 등 추가감축 조율  석유화학업계는 정부가 주도하는 구조조정의 핵심 지역으로 전남 여수를 꼽는다. 3대 석유화학단지(여수, 충남 대산, 울산) 가운데 나프타분해설비(NCC) 규모가 연 641만t으로 가장 큰 데다 여러 기업의 이해관계가 복잡하게 얽혀 있어 해법을 찾기 쉽지 않다는 이유에서다. GS칼텍스와 LG화학은 최근 시설투자를 마친 만큼 선뜻 구조조정에 나서기 어려운 측면도 있었다.  하지만 뚜껑을 열어본 결과는 달랐다. 여천NCC가 3공장(연 생산량 47만t) 폐쇄를 결정한 데 이어 롯데케미칼과 GS칼텍스, LG화학도 통합을 전제로 하는 감산에 합의해서다. ◇‘NCC 공룡’ 나온다 롯데케미칼과 여천NCC는 국내 NCC업계를 상징하는 기업이다. 여천NCC는 단일 산업단지에서 가장 많은 에틸렌(연 228만t)을 생산하는 기업이고, 롯데케미칼은 국내외를 통틀어 에틸렌을 가장 많이 만드는 최대 기업이기 때문이다. 정부가 두 기업을 타깃으로 삼은 이유가 여기에 있다. 원활한 구조조정을 위해선 이들 기업을 합쳐야 한다고 본 것이다. 하지만 여천NCC를 공동 운영하는 한화와 DL그룹이 반목하면서 다음 수순인 롯데케미칼과의 통합은 제자리걸음을 걸었다.  이랬던 여천NCC와 롯데케미칼이 합작하기로 한 만큼 에틸렌 감축 규모는 예상을 뛰어넘을 가능성이 커졌다. 합작법인은 폐쇄를 결정한 여천NCC 3공장(연 47만t)에 더해 여천NCC 1공장(연산 90만t)과 2공장(연산 91만5000t), 롯데케미칼 여수 공장(123만t) 감축 여부를 놓고 협의하는 것으로 알려졌다.  정부 감축 목표치(연 270만~370만t) 절반을 두 회사가 도맡을 수 있다는 얘기다. 업계 관계자는 “여천NCC와 롯데케미칼 모두 정부 구조조정에 적극 동참하겠다는 의지를 보였다”며 “생산량 감축 규모는 여천NCC 3공장보다 커질 수 있다”고 말했다.  여수산단 내 LG화학과 GS칼텍스도 최종 합의를 끝내고 구조조정에 동참할 것으로 알려졌다. LG화학은 연산 200만t(120만t, 80만t) 규모 NCC 2기를, GS칼텍스는 연산 90만t 규모 NCC 1기를 가동하고 있다. 업계에서는 이 가운데 규모가 가장 크고 설비가 노후한 LG화학 제1공장(120만t)을 닫는 방안이 유력한 것으로 보고 있다.  김정관 산업통상부 장관은 19일 기업들의 구조조정안을 전달받은 뒤 오는 22일 LG화학 롯데케미칼 SK지오센트릭 에쓰오일 HD현대케미칼 등 10개 NCC기업 CEO들과 만난다. 지난 8월 자율협약식 이후 처음으로 대면하는 자리다. 김 장관은 구조조정에 대한 정부 후속 지원과 속도감 있는 구조조정을 주문할 것으로 전해졌다. ◇정부 목표는 달성할 듯 업계는 여천NCC와 롯데케미칼의 통합 논의로 정부의 감축 목표치를 달성할 것으로 보고 있다. 가장 먼저 구조조정 계획을 발표한 대산산단은 에틸렌을 연 110만t 생산할 수 있는 롯데케미칼 공장 문을 닫기로 했다. HD현대케미칼이 보유한 NCC(연산 85만t)는 그대로 가동한다. 여기에 여천NCC 3공장(47만t)과 LG화학 여수 1공장(120만t)이 추가로 폐쇄되면 감산 규모는 252만t에 이른다.  울산 석유화학 3사(SK지오센트릭 에쓰오일 대한유화)는 막바지 협상을 이어가고 있다. 석유화학사업 재편 용역을 맡은 보스턴컨설팅그룹(BCG)은 SK지오센트릭이 연산 66만t 규모 NCC 문을 닫고, 이 회사 폴리머공장은 에쓰오일 또는 대한유화와 공동 경영하는 방안을 제안했다. 이렇게 되면 전체 감산 규모는 318만t으로 불어난다. 일각에선 합의가 이뤄지지 않으면 3사가 일정 규모씩 에틸렌 생산량을 줄이는 방향으로 구조조정안을 낼 것으로 예상하고 있다.",2025.12.18. 오후 11:04,https://n.news.naver.com/mnews/article/015/0005226534
"여천NCC·롯데케미칼, 생산시설 통합 '빅딜'","여천NCC와 롯데케미칼이 전남 여수 석유화학단지에 있는 에틸렌 생산용 나프타분해설비(NCC)를 통합한다. 여천NCC 공동 주주인 한화솔루션과 DL케미칼이 같은 산단에 있는 롯데케미칼과 함께 에틸렌 생산량 추가 감축 방안 논의에 들어갔다. 업계에선 이미 결정한 여천NCC 3공장(연산 47만t) 폐쇄에 더해 각각 90만t가량의 생산 규모를 갖춘 여천NCC 1, 2공장이나 롯데 공장(123만t) 추가 감축 방안이 나올 것으로 예상하고 있다.  18일 업계에 따르면 여천NCC는 19일 정부에 제출할 사업재편안에 롯데케미칼과의 통합 방안을 담기로 했다. 업계에선 여천NCC 3공장을 폐쇄하고 나머지 시설을 대상으로 한화, DL, 롯데가 새로운 합작사를 설립해 공동 운영할 것으로 예상하고 있다. 3개사는 여천NCC 1공장(90만t)과 2공장(91만5000t), 롯데케미칼 여수공장(123만t) 중 하나를 폐쇄하는 방안도 협의하고 있다.  여천NCC와 롯데케미칼의 빅딜이 성사되면 정부의 에틸렌 생산량 감축 목표(연간 270만~370만t)는 계획대로 이뤄질 전망이다. GS칼텍스와 합작사를 설립하는 LG화학 여수 1공장(120만t)도 감축 대상에 올랐다.",2025.12.18. 오후 10:58,https://n.news.naver.com/mnews/article/015/0005226533
"김의성 '쿠팡 탈퇴' 인증…""정신 좀 차리면 재가입할 것""","배우 김의성이 '탈팡(쿠팡 탈퇴)'를 인증했다.  김의성은 18일 자신의 페이스북에 ""요즘 저는 네이버쇼핑을 쓴다. 몇 가지 불편한 점들은 있지만 쓸 만하다""면서 ""새벽배송 없어도 살 만하다. 탈퇴한 모 업체는 정신 좀 차리는 게 보이면 다시 가입하려 한다""는 게시물을 올렸다.  김의성은 '쿠팡'을 직접 거론하지 않았지만 '새벽배송' 등의 표현을 봤을 때 '모 업체'는 최근 고객 개인정보가 유출된 쿠팡을 말하는 것으로 보인다.  앞서 쿠팡은 지난달 29일 대규모 개인정보 유출 사고를 겪고도 ""영업에 중대한 중단이나 훼손은 없었고, 투자자의 합리적 판단에 중대한 영향을 미칠 정도는 아니다""라는 입장을 밝혀 빈축을 샀다.  또 최근 김범석 쿠팡 아이엔씨(Inc) 의장이 국회 청문회에 불출석하는 등 무책임한 모습을 보이면서 소비자 사이에서 회원 탈퇴를 인증하는 '탈팡' 운동이 확산하고 있다.  한편, 김의성은 윤석열 전 대통령 탄핵 당시 공개 지지 입장을 밝히는 등 이전에도 정치적, 사회적 이슈에 목소리를 내왔다.  서울대 경영학과 출신인 김의성은 1987년 극단 '한강' 단원으로 배우 생활을 시작했고, 영화 '부산행(2016년)', 드라마 '미스터 션샤인(2018년)' 등에서 주로 악역을 맡았다. 2023년 기획사 '안컴퍼니'를 설립하며 대표이자 소속 배우로 활동하고 있다. 현재 SBS 드라마 '모범택시3'에 출연 중이다.  이보배 한경닷컴 객원기자 newsinfo@hankyung.com",2025.12.18. 오후 10:42,https://n.news.naver.com/mnews/article/015/0005226532
"""테슬라 자율주행 과장 광고, 시정 없으면 30일 영업정지""","미국 캘리포니아주에서 테슬라의 '자율주행' 광고가 소비자를 오도해 주(州)법을 위반했다는 이유로 테슬라의 차량 제조·판매를 한 달간 중단시킬 수 있는 판결이 나온 가운데 당국은 테슬라에 시정할 기회를 부여하며 법원의 영업 정지 명령을 유예했다.  17일(현지시간) 미 캘리포니아주 차량관리국(DMV)에 따르면 주(州) 행정판사는 DMV가 테슬라를 상대로 제기한 소송 심리를 마친 뒤, 테슬라가 자사 제품의 첨단주행보조기능(ADAS)을 설명하면서 ""완전자율주행(Full Self-Driving, FSD) 능력"", ""자동운항(autopilot, 오토파일럿)""이라는 용어를 쓴 것은 사실과 다른 허위 광고라고 판단했다.  행정판사는 이런 광고가 소비자를 오도해 주(州) 법률을 위반했다고 결론 내리고 테슬라의 제조 면허와 딜러(판매) 면허를 30일간 정지하는 명령을 제안했다.  캘리포니아주 DMV는 테슬라의 법률 위반에 대한 법원의 판단을 받아들이되, 처벌을 완화해 테슬라의 제조 면허 정지를 즉시 유예하고 테슬라가 '오토파일럿' 용어 사용에 관해 시정할 기간을 60일 부여한다고 밝혔다.  테슬라 측은 이날 성명에서 ""이는 '오토파일럿' 용어 사용에 관한 '소비자 보호' 명령으로, 단 한 명의 고객도 문제를 삼지 않은 사안""이라며 ""캘리포니아에서 판매는 차질 없이 계속될 것""이라고 밝혔다.",2025.12.18. 오후 10:34,https://n.news.naver.com/mnews/article/015/0005226531
ECB 4연속 금리 동결…예금금리 연 2.00％ 유지,"유럽중앙은행(ECB)이 예금금리를 비롯한 3대 정책금리를 모두 동결했다.  ECB는 18일(현지시간) 독일 프랑크푸르트에서 통화정책회의를 열고 예금금리(2.00％)와 기준금리(2.15％), 한계대출금리(2.40％)를 모두 변동 없이 유지하기로 했다.  ECB는 ""최신 평가에서 인플레이션이 중기적으로 목표치인 2％에서 안정될 것으로 다시 확인됐다""고 금리 동결 배경을 설명했다.  이날 금리 동결로 유로존(유로화 사용 20개국) 통화정책 기준인 예금금리와 한국 기준금리(2.50％)의 격차는 0.50％포인트로 유지됐다.  미국 중앙은행인 연방준비제도(Fed·연준)가 지난 10일 기준금리를 3.50∼3.75％로 내리면서 유로존과 미국의 금리 차이는 1.50∼1.75％포인트로 줄었다.  ECB는 지난해 6월부터 올해 6월까지 모두 8차례에 걸쳐 정책금리를 2.00％포인트 인하하고 이후 이날까지 네 차례 회의에서는 모두 동결했다.  한편, ECB는 새로 내놓은 경제전망에서 ""내년 서비스 물가 상승 둔화가 완만해지고 내수 수요가 강세를 보일 것""이라면서 물가와 성장 전망치를 모두 올려 잡았다.  ECB는 내년 소비자물가 상승률 전망치를 기존 1.7％에서 1.9％로, 경제성장률은 1.0％에서 1.2％로 각각 상향 조정했다.  2027년 소비자물가 상승률 전망치는 1.8％, 경제성장률은 1.4％다.  이보배 한경닷컴 객원기자 newsinfo@hankyung.com",2025.12.18. 오후 10:25,https://n.news.naver.com/mnews/article/015/0005226530
